constructorId,constructorRef,name,nationality,url,team_color
1,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren,#FF8700
2,bmw_sauber,BMW Sauber,German,http://en.wikipedia.org/wiki/BMW_Sauber,#005AFF
3,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,#005AFF
4,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One,#FFF500
5,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,#469BFF
6,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,#DC143C
7,toyota,Toyota,Japanese,http://en.wikipedia.org/wiki/Toyota_Racing,#DC143C
8,super_aguri,Super Aguri,Japanese,http://en.wikipedia.org/wiki/Super_Aguri_F1,#FFFFFF
9,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing,#0600EF
10,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India,#FF80C7
11,honda,Honda,Japanese,http://en.wikipedia.org/wiki/Honda_Racing_F1,#FFFFFF
12,spyker,Spyker,Dutch,http://en.wikipedia.org/wiki/Spyker_F1,#FF8700
13,mf1,MF1,Russian,http://en.wikipedia.org/wiki/Midland_F1_Racing,#808080
14,spyker_mf1,Spyker MF1,Dutch,http://en.wikipedia.org/wiki/Midland_F1_Racing,#808080
15,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber_Motorsport,#00E701
16,bar,BAR,British,http://en.wikipedia.org/wiki/British_American_Racing,#FFFFFF
17,jordan,Jordan,Irish,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,#FFB800
18,minardi,Minardi,Italian,http://en.wikipedia.org/wiki/Minardi,#FFB800
19,jaguar,Jaguar,British,http://en.wikipedia.org/wiki/Jaguar_Racing,#004225
20,prost,Prost,French,http://en.wikipedia.org/wiki/Prost_Grand_Prix,#0000FF
21,arrows,Arrows,British,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,#FF4500
22,benetton,Benetton,Italian,http://en.wikipedia.org/wiki/Benetton_Formula,#0000FF
23,brawn,Brawn,British,http://en.wikipedia.org/wiki/Brawn_GP,#FFFF00
24,stewart,Stewart,British,http://en.wikipedia.org/wiki/Stewart_Grand_Prix,#FFFFFF
25,tyrrell,Tyrrell,British,http://en.wikipedia.org/wiki/Tyrrell_Racing,#000080
26,lola,Lola,British,http://en.wikipedia.org/wiki/MasterCard_Lola,#808080
27,ligier,Ligier,French,http://en.wikipedia.org/wiki/Ligier,#808080
28,forti,Forti,Italian,http://en.wikipedia.org/wiki/Forti,#808080
29,footwork,Footwork,British,http://en.wikipedia.org/wiki/Footwork_Arrows,#808080
30,pacific,Pacific,British,http://en.wikipedia.org/wiki/Pacific_Racing,#808080
31,simtek,Simtek,British,http://en.wikipedia.org/wiki/Simtek,#808080
32,team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus,#FFB800
33,larrousse,Larrousse,French,http://en.wikipedia.org/wiki/Larrousse,#808080
34,brabham,Brabham,British,http://en.wikipedia.org/wiki/Brabham,#FFFFFF
35,dallara,Dallara,Italian,http://en.wikipedia.org/wiki/Dallara,#808080
36,fondmetal,Fondmetal,Italian,http://en.wikipedia.org/wiki/Fondmetal,#808080
37,march,March,British,http://en.wikipedia.org/wiki/March_Engineering,#FF0000
38,moda,Andrea Moda,Italian,http://en.wikipedia.org/wiki/Andrea_Moda_Formula,#808080
39,ags,AGS,French,http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives,#808080
40,lambo,Lambo,Italian,http://en.wikipedia.org/wiki/Modena_(racing_team),#808080
41,leyton,Leyton House,British,http://en.wikipedia.org/wiki/Leyton_House,#808080
42,coloni,Coloni,Italian,http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems,#808080
44,eurobrun,Euro Brun,Italian,http://en.wikipedia.org/wiki/Euro_Brun,#808080
45,osella,Osella,Italian,http://en.wikipedia.org/wiki/Osella,#808080
46,onyx,Onyx,British,http://en.wikipedia.org/wiki/Onyx_(racing_team),#808080
47,life,Life,Italian,http://en.wikipedia.org/wiki/Life_(Racing_Team),#808080
48,rial,Rial,German,http://en.wikipedia.org/wiki/Rial_%28racing_team%29,#808080
49,zakspeed,Zakspeed,German,http://en.wikipedia.org/wiki/Zakspeed,#808080
50,ram,RAM,British,http://en.wikipedia.org/wiki/RAM_Racing,#808080
51,alfa,Alfa Romeo,Swiss,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,#900000
52,spirit,Spirit,British,http://en.wikipedia.org/wiki/Spirit_(racing_team),#808080
53,toleman,Toleman,British,http://en.wikipedia.org/wiki/Toleman,#808080
54,ats,ATS,Italian,http://en.wikipedia.org/wiki/ATS_(wheels),#808080
55,theodore,Theodore,Hong Kong,http://en.wikipedia.org/wiki/Theodore_Racing,#808080
56,fittipaldi,Fittipaldi,Brazilian,http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29,#808080
57,ensign,Ensign,British,http://en.wikipedia.org/wiki/Ensign_%28racing_team%29,#808080
58,shadow,Shadow,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,#000000
59,wolf,Wolf,Canadian,http://en.wikipedia.org/wiki/Walter_Wolf_Racing,#FF0000
60,merzario,Merzario,Italian,http://en.wikipedia.org/wiki/Merzario,#808080
61,kauhsen,Kauhsen,German,http://en.wikipedia.org/wiki/Kauhsen,#808080
62,rebaque,Rebaque,Mexican,http://en.wikipedia.org/wiki/Rebaque,#808080
63,surtees,Surtees,British,http://en.wikipedia.org/wiki/Surtees,#808080
64,hesketh,Hesketh,British,http://en.wikipedia.org/wiki/Hesketh_Racing,#FFFFFF
65,martini,Martini,French,http://en.wikipedia.org/wiki/Martini_(cars),#808080
66,brm,BRM,British,http://en.wikipedia.org/wiki/BRM,#008000
67,penske,Penske,American,http://en.wikipedia.org/wiki/Penske_Racing,#808080
68,lec,LEC,British,http://en.wikipedia.org/wiki/LEC_(Formula_One),#808080
69,mcguire,McGuire,Australian,http://en.wikipedia.org/wiki/McGuire_(Formula_One),#808080
70,boro,Boro,Dutch,http://en.wikipedia.org/wiki/Boro_(Formula_One),#808080
71,apollon,Apollon,Swiss,http://en.wikipedia.org/wiki/Apollon_(Formula_One),#808080
72,kojima,Kojima,Japanese,http://en.wikipedia.org/wiki/Kojima_Engineering,#808080
73,parnelli,Parnelli,American,http://en.wikipedia.org/wiki/Parnelli,#808080
74,maki,Maki,Japanese,http://en.wikipedia.org/wiki/Maki_(cars),#808080
75,hill,Embassy Hill,British,http://en.wikipedia.org/wiki/Hill_(constructor),#808080
76,lyncar,Lyncar,British,http://en.wikipedia.org/wiki/Lyncar,#808080
77,trojan,Trojan,British,http://en.wikipedia.org/wiki/Trojan_(Racing_team),#808080
78,amon,Amon,New Zealander,http://en.wikipedia.org/wiki/Amon_(Formula_One_team),#808080
79,token,Token,British,http://en.wikipedia.org/wiki/Token_(Racing_team),#808080
80,iso_marlboro,Iso Marlboro,British,http://en.wikipedia.org/wiki/Iso_Marlboro,#808080
81,tecno,Tecno,Italian,http://en.wikipedia.org/wiki/Tecno,#808080
82,matra,Matra,French,http://en.wikipedia.org/wiki/Matra,#0000FF
83,politoys,Politoys,British,http://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars,#808080
84,connew,Connew,British,http://en.wikipedia.org/wiki/Connew,#808080
85,bellasi,Bellasi,Swiss,http://en.wikipedia.org/wiki/Bellasi,#808080
86,tomaso,De Tomaso,Italian,http://en.wikipedia.org/wiki/De_Tomaso,#808080
87,cooper,Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#008000
88,eagle,Eagle,American,http://en.wikipedia.org/wiki/Anglo_American_Racers,#808080
89,lds,LDS,South African,http://en.wikipedia.org/wiki/LDS_(automobile),#808080
90,protos,Protos,British,http://en.wikipedia.org/wiki/Protos_(constructor),#808080
91,shannon,Shannon,British,http://en.wikipedia.org/wiki/Shannon_(Formula_One),#808080
92,scirocco,Scirocco,British,http://en.wikipedia.org/wiki/Scirocco-Powell,#808080
93,re,RE,Rhodesian,http://en.wikipedia.org/wiki/RE_%28automobile%29,#808080
94,brp,BRP,British,http://en.wikipedia.org/wiki/British_Racing_Partnership,#808080
95,porsche,Porsche,German,http://en.wikipedia.org/wiki/Porsche_in_Formula_One,#000000
96,derrington,Derrington,British,http://en.wikipedia.org/wiki/Derrington-Francis,#808080
97,gilby,Gilby,British,http://en.wikipedia.org/wiki/Gilby,#808080
98,stebro,Stebro,Canadian,http://en.wikipedia.org/wiki/Stebro,#808080
99,emeryson,Emeryson,British,http://en.wikipedia.org/wiki/Emeryson,#808080
100,enb,ENB,Belgian,http://en.wikipedia.org/wiki/Ecurie_Nationale_Belge,#808080
101,jbw,JBW,British,http://en.wikipedia.org/wiki/JBW,#808080
102,ferguson,Ferguson,British,http://en.wikipedia.org/wiki/Ferguson_Research_Ltd.,#808080
103,mbm,MBM,Swiss,http://en.wikipedia.org/wiki/Monteverdi_Basel_Motors,#808080
104,behra-porsche,Behra-Porsche,Italian,http://en.wikipedia.org/wiki/Behra-Porsche,#808080
105,maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati,#FF0000
106,scarab,Scarab,American,http://en.wikipedia.org/wiki/Scarab_(constructor),#808080
107,watson,Watson,American,http://en.wikipedia.org/wiki/A.J._Watson,#808080
108,epperly,Epperly,American,http://en.wikipedia.org/wiki/Epperly,#808080
109,phillips,Phillips,American,http://en.wikipedia.org/wiki/Phillips_(constructor),#808080
110,lesovsky,Lesovsky,American,http://en.wikipedia.org/wiki/Lesovsky,#808080
111,trevis,Trevis,American,http://en.wikipedia.org/wiki/Trevis,#808080
112,meskowski,Meskowski,American,http://en.wikipedia.org/wiki/Meskowski,#808080
113,kurtis_kraft,Kurtis Kraft,American,http://en.wikipedia.org/wiki/Kurtis_Kraft,#808080
114,kuzma,Kuzma,American,http://en.wikipedia.org/wiki/Kuzma_(constructor),#808080
115,vhristensen,Christensen,American,http://en.wikipedia.org/wiki/Christensen_(constructor),#808080
116,ewing,Ewing,American,http://en.wikipedia.org/wiki/Ewing_(constructor),#808080
117,aston_martin,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,#006F62
118,vanwall,Vanwall,British,http://en.wikipedia.org/wiki/Vanwall,#008000
119,moore,Moore,American,http://en.wikipedia.org/wiki/Moore_(constructor),#808080
120,dunn,Dunn,American,http://en.wikipedia.org/wiki/Dunn_Engineering,#808080
121,elder,Elder,American,http://en.wikipedia.org/wiki/Elder_(constructor),#808080
122,sutton,Sutton,American,http://en.wikipedia.org/wiki/Sutton_(constructor),#808080
123,fry,Fry,British,http://en.wikipedia.org/wiki/Fry_(racing_team),#808080
124,tec-mec,Tec-Mec,Italian,http://en.wikipedia.org/wiki/Tec-Mec,#808080
125,connaught,Connaught,British,http://en.wikipedia.org/wiki/Connaught_Engineering,#808080
126,alta,Alta,British,http://en.wikipedia.org/wiki/Alta_auto_racing_team,#808080
127,osca,OSCA,Italian,http://en.wikipedia.org/wiki/Officine_Specializate_Costruzione_Automobili,#808080
128,gordini,Gordini,French,http://en.wikipedia.org/wiki/Gordini,#0000FF
129,stevens,Stevens,American,http://en.wikipedia.org/wiki/Stevens_(constructor),#808080
130,bugatti,Bugatti,French,http://en.wikipedia.org/wiki/Bugatti,#0000FF
131,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,#00D2BE
132,lancia,Lancia,Italian,http://en.wikipedia.org/wiki/Lancia_in_Formula_One,#FF0000
133,hwm,HWM,British,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors,#808080
134,schroeder,Schroeder,American,http://en.wikipedia.org/wiki/Schroeder_(constructor),#808080
135,pawl,Pawl,American,http://en.wikipedia.org/wiki/Pawl_(constructor),#808080
136,pankratz,Pankratz,American,http://en.wikipedia.org/wiki/Pankratz,#808080
137,arzani-volpini,Arzani-Volpini,Italian,http://en.wikipedia.org/wiki/Arzani-Volpini,#808080
138,nichels,Nichels,American,http://en.wikipedia.org/wiki/Nichels,#808080
139,bromme,Bromme,American,http://en.wikipedia.org/wiki/Bromme,#808080
140,klenk,Klenk,German,http://en.wikipedia.org/wiki/Klenk,#808080
141,simca,Simca,French,http://en.wikipedia.org/wiki/Simca,#808080
142,turner,Turner,American,http://en.wikipedia.org/wiki/Turner_(constructor),#808080
143,del_roy,Del Roy,American,http://en.wikipedia.org/wiki/Del_Roy,#808080
144,veritas,Veritas,German,http://en.wikipedia.org/wiki/Veritas_(constructor),#808080
145,bmw,BMW,German,http://en.wikipedia.org/wiki/BMW,#0000FF
146,emw,EMW,East German,http://en.wikipedia.org/wiki/Eisenacher_Motorenwerk,#808080
147,afm,AFM,German,http://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau,#808080
148,frazer_nash,Frazer Nash,British,http://en.wikipedia.org/wiki/Frazer_Nash,#808080
149,sherman,Sherman,American,http://en.wikipedia.org/wiki/Sherman_(constructor),#808080
150,deidt,Deidt,American,http://en.wikipedia.org/wiki/Deidt,#808080
151,era,ERA,British,http://en.wikipedia.org/wiki/English_Racing_Automobiles,#808080
152,butterworth,Aston Butterworth,British,http://en.wikipedia.org/wiki/Aston_Butterworth,#808080
153,cisitalia,Cisitalia,Italian,http://en.wikipedia.org/wiki/Cisitalia,#808080
154,lago,Talbot-Lago,French,http://en.wikipedia.org/wiki/Talbot-Lago,#808080
155,hall,Hall,American,http://en.wikipedia.org/wiki/Hall_(constructor),#808080
156,marchese,Marchese,American,http://en.wikipedia.org/wiki/Marchese_(constructor),#808080
157,langley,Langley,American,http://en.wikipedia.org/wiki/Langley_(constructor),#808080
158,rae,Rae,American,http://en.wikipedia.org/wiki/Rae_(motorsport),#808080
159,olson,Olson,American,http://en.wikipedia.org/wiki/Olson_(constructor),#808080
160,wetteroth,Wetteroth,American,http://en.wikipedia.org/wiki/Wetteroth,#808080
161,adams,Adams,American,http://en.wikipedia.org/wiki/Adams_(constructor),#808080
162,snowberger,Snowberger,American,http://en.wikipedia.org/wiki/Snowberger,#808080
163,milano,Milano,Italian,http://en.wikipedia.org/wiki/Scuderia_Milano,#808080
164,hrt,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing,#FF0000
167,cooper-maserati,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#808080
166,virgin,Virgin,British,http://en.wikipedia.org/wiki/Virgin_Racing,#FF0000
168,cooper-osca,Cooper-OSCA,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#808080
169,cooper-borgward,Cooper-Borgward,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#808080
170,cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#808080
171,cooper-castellotti,Cooper-Castellotti,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#808080
172,lotus-climax,Lotus-Climax,British,http://en.wikipedia.org/wiki/Team_Lotus,#808080
173,lotus-maserati,Lotus-Maserati,British,http://en.wikipedia.org/wiki/Team_Lotus,#808080
174,de_tomaso-osca,De Tomaso-Osca,Italian,http://en.wikipedia.org/wiki/De_Tomaso,#808080
175,de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian,http://en.wikipedia.org/wiki/De_Tomaso,#808080
176,lotus-brm,Lotus-BRM,British,http://en.wikipedia.org/wiki/Team_Lotus,#808080
177,lotus-borgward,Lotus-Borgward,British,http://en.wikipedia.org/wiki/Team_Lotus,#808080
178,cooper-alfa_romeo,Cooper-Alfa Romeo,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#808080
179,de_tomaso-ferrari,De Tomaso-Ferrari,Italian,http://en.wikipedia.org/wiki/De_Tomaso,#808080
180,lotus-ford,Lotus-Ford,British,http://en.wikipedia.org/wiki/Team_Lotus,#808080
181,brabham-brm,Brabham-BRM,British,http://en.wikipedia.org/wiki/Brabham,#808080
182,brabham-ford,Brabham-Ford,British,http://en.wikipedia.org/wiki/Brabham,#808080
183,brabham-climax,Brabham-Climax,British,http://en.wikipedia.org/wiki/Brabham,#808080
184,lds-climax,LDS-Climax,South African,http://en.wikipedia.org/wiki/LDS_(automobile),#808080
185,lds-alfa_romeo,LDS-Alfa Romeo,South African,http://en.wikipedia.org/wiki/LDS_(automobile),#808080
186,cooper-ford,Cooper-Ford,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#808080
187,mclaren-ford,McLaren-Ford,British,http://en.wikipedia.org/wiki/Team_McLaren,#808080
188,mclaren-seren,McLaren-Serenissima,British,http://en.wikipedia.org/wiki/Team_McLaren,#808080
189,eagle-climax,Eagle-Climax,American,http://en.wikipedia.org/wiki/Anglo_American_Racers,#808080
190,eagle-weslake,Eagle-Weslake,American,http://en.wikipedia.org/wiki/Anglo_American_Racers,#808080
191,brabham-repco,Brabham-Repco,British,http://en.wikipedia.org/wiki/Brabham,#808080
192,cooper-ferrari,Cooper-Ferrari,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#808080
193,cooper-ats,Cooper-ATS,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#808080
194,mclaren-brm,McLaren-BRM,British,http://en.wikipedia.org/wiki/McLaren_(racing),#808080
195,cooper-brm,Cooper-BRM,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#808080
196,matra-ford,Matra-Ford,French,http://en.wikipedia.org/wiki/Matra,#808080
197,brm-ford,BRM-Ford,British,http://en.wikipedia.org/wiki/BRM,#808080
198,mclaren-alfa_romeo,McLaren-Alfa Romeo,British,http://en.wikipedia.org/wiki/McLaren_(racing),#808080
199,march-alfa_romeo,March-Alfa Romeo,British,http://en.wikipedia.org/wiki/March_Engineering,#808080
200,march-ford,March-Ford,British,http://en.wikipedia.org/wiki/March_Engineering,#808080
201,lotus-pw,Lotus-Pratt &amp; Whitney,British,http://en.wikipedia.org/wiki/Team_Lotus,#808080
202,shadow-ford,Shadow-Ford,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,#808080
203,shadow-matra,Shadow-Matra,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,#808080
204,brabham-alfa_romeo,Brabham-Alfa Romeo,British,http://en.wikipedia.org/wiki/Brabham,#808080
205,lotus_racing,Lotus,Malaysian,http://en.wikipedia.org/wiki/Lotus_Racing,#FFB800
206,marussia,Marussia,Russian,http://en.wikipedia.org/wiki/Marussia_F1,#6E0000
207,caterham,Caterham,Malaysian,http://en.wikipedia.org/wiki/Caterham_F1,#005030
208,lotus_f1,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1,#FFB800
209,manor,Manor Marussia,British,http://en.wikipedia.org/wiki/Manor_Motorsport,#6E0000
210,haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team,#FFFFFF
211,racing_point,Racing Point,British,http://en.wikipedia.org/wiki/Racing_Point_F1_Team,#FF80C7
213,alphatauri,AlphaTauri,Italian,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri,#2B4562
214,alpine,Alpine F1 Team,French,http://en.wikipedia.org/wiki/Alpine_F1_Team,#0090FF
215,rb,RB F1 Team,Italian,http://en.wikipedia.org/wiki/RB_Formula_One_Team,#6692FF
